,,,,,,,,,,,,,,,,,,,,,,,,,,iShares 10+ Year Investment Grade Corporate Bond ETF
TENCENT HOLDINGS LTD MTN 144A,Technology,Fixed Income,"289,976.62",0.01,"289,976.62","313,000.00",88032WAW6,US88032WAW64,-,92.39,China,-,USD,20.75,3.66,1.0,"Jun 03, 2060",3.29,20.95,-,3.66,20.95,3.66,USD,"Jun 03, 2020","Jun 03, 2020"
ARCHER DANIELS MIDLAND CO,Consumer Non-Cyclical,Fixed Income,"289,459.31",0.01,"289,459.31","218,000.00",039483BQ4,US039483BQ45,BH31WX5,131.45,United States,-,USD,16.8,2.83,1.0,"Mar 15, 2049",4.5,17.05,-,2.82,16.86,2.82,USD,"Dec 03, 2018","Dec 03, 2018"
METLIFE INC,Insurance,Fixed Income,"288,739.02",0.01,"288,739.02","222,000.00",59156RBL1,US59156RBL15,BRF1CN3,129.85,United States,-,USD,14.98,2.93,1.0,"Dec 15, 2044",4.72,15.17,-,2.93,15.17,2.93,USD,"Sep 15, 2014","Oct 07, 2014"
BRITISH TELECOMMUNICATIONS PLC 144A,Communications,Fixed Income,"288,628.86",0.01,"288,628.86","266,000.00",111021AN1,US111021AN11,-,107.89,United Kingdom,-,USD,16.46,3.79,1.0,"Nov 08, 2049",4.25,16.62,-,3.78,16.45,3.78,USD,"Nov 08, 2019","Nov 08, 2019"
SOCIEDAD QUIMICA Y MINERA DE CHILE 144A,Basic Industry,Fixed Income,"288,652.26",0.01,"288,652.26","295,000.00",833636AL7,US833636AL76,-,96.88,Chile,-,USD,17.84,3.67,1.0,"Sep 10, 2051",3.5,17.99,-,3.67,17.99,3.67,USD,"Sep 20, 2021","Sep 20, 2021"
OGLETHORPE POWER CORPORATION,Electric,Fixed Income,"288,338.92",0.01,"288,338.92","225,000.00",677052AA0,US677052AA00,B5M1JL9,127.25,United States,-,USD,12.58,3.4,1.0,"Nov 01, 2040",5.38,12.6,-,3.4,12.6,3.4,USD,"Nov 09, 2010","Nov 09, 2010"
TAMPA ELECTRIC CO,Electric,Fixed Income,"287,834.96",0.01,"287,834.96","240,000.00",875127BC5,US875127BC57,BMMVFY3,119.38,United States,-,USD,14.76,3.14,1.0,"May 15, 2044",4.35,14.95,-,3.12,14.73,3.12,USD,"May 15, 2014","May 15, 2014"
PIEDMONT NATURAL GAS COMPANY INC,Natural Gas,Fixed Income,"287,803.71",0.01,"287,803.71","270,000.00",720186AK1,US720186AK13,BD82QD3,105.99,United States,-,USD,16.28,3.29,1.0,"Nov 01, 2046",3.64,16.45,-,3.28,16.24,3.28,USD,"Jul 28, 2016","Jul 28, 2016"
MOUNT SINAI HOSPITAL,Consumer Non-Cyclical,Fixed Income,"287,834.08",0.01,"287,834.08","245,000.00",623115AD4,US623115AD48,BFX4N26,115.49,United States,-,USD,14.36,2.98,1.0,"Jul 01, 2048",3.98,14.43,-,2.98,14.43,2.98,USD,"Dec 21, 2017","Dec 21, 2017"
GEORGETOWN UNIVERSITY,Industrial Other,Fixed Income,"287,676.70",0.01,"287,676.70","200,000.00",37310PAB7,US37310PAB76,BJ791C1,142.53,United States,-,USD,21.55,3.42,1.0,"Oct 01, 2118",5.21,21.78,-,3.42,21.78,3.42,USD,"Jan 16, 2019","Jan 16, 2019"
CENTERPOINT ENERGY HOUSTON ELECTRI,Electric,Fixed Income,"287,335.96",0.01,"287,335.96","255,000.00",15189XAM0,US15189XAM02,B8N24M8,111.2,United States,-,USD,14.53,2.83,1.0,"Aug 01, 2042",3.55,14.71,-,2.82,14.46,2.82,USD,"Aug 10, 2012","Aug 10, 2012"
BORGWARNER INC,Consumer Cyclical,Fixed Income,"287,246.56",0.01,"287,246.56","245,000.00",099724AH9,US099724AH99,BWC4XV5,115.96,United States,-,USD,14.86,3.38,1.0,"Mar 15, 2045",4.38,15.03,-,3.36,14.83,3.36,USD,"Mar 16, 2015","Mar 16, 2015"
MONONGAHELA POWER CO 144A,Electric,Fixed Income,"287,044.00",0.01,"287,044.00","222,000.00",610202BP7,US610202BP77,BGMTTQ5,129.06,United States,-,USD,13.79,3.49,1.0,"Dec 15, 2043",5.4,13.97,-,3.47,13.77,3.47,USD,"Nov 27, 2013","Nov 27, 2013"
OGLETHORPE POWER CORPORATION,Electric,Fixed Income,"286,741.35",0.01,"286,741.35","225,000.00",677050AN6,US677050AN64,BJXRH21,126.18,United States,-,USD,15.66,3.53,1.0,"Oct 01, 2048",5.05,15.85,-,3.51,15.68,3.51,USD,"Apr 01, 2019","May 09, 2019"
CONSOLIDATED EDISON CO OF NEW YORK,Electric,Fixed Income,"286,622.16",0.01,"286,622.16","215,000.00",209111FA6,US209111FA63,B5M23K9,133.06,United States,-,USD,12.37,3.29,1.0,"Jun 15, 2040",5.7,12.4,-,3.29,12.4,3.29,USD,"Jun 07, 2010","Jun 07, 2010"
ENTERGY LOUISIANA LLC,Electric,Fixed Income,"286,628.08",0.01,"286,628.08","279,000.00",29364WBJ6,US29364WBJ62,-,102.6,United States,-,USD,14.44,2.92,1.0,"Jun 15, 2041",3.1,14.59,-,2.92,14.31,2.92,USD,"Mar 10, 2021","Mar 10, 2021"
MOTOROLA SOLUTIONS INC,Technology,Fixed Income,"286,439.86",0.01,"286,439.86","217,000.00",620076BE8,US620076BE80,BQ26RS4,130.17,United States,-,USD,13.94,3.55,1.0,"Sep 01, 2044",5.5,14.0,-,3.55,14.0,3.55,USD,"Aug 19, 2014","Aug 19, 2014"
WRKCO INC,Basic Industry,Fixed Income,"286,242.51",0.01,"286,242.51","278,000.00",92940PAG9,US92940PAG90,BM93S98,102.83,United States,-,USD,9.63,2.71,1.0,"Jun 15, 2033",3.0,9.66,-,2.71,9.49,2.71,USD,"Jun 03, 2020","Jun 03, 2020"
WEST VIRGINIA UNITED HEALTH SYSTEM,Consumer Non-Cyclical,Fixed Income,"285,981.90",0.01,"285,981.90","290,000.00",956708AB7,US956708AB70,-,98.35,United States,-,USD,18.41,3.22,1.0,"Jun 01, 2050",3.13,18.59,-,3.22,18.59,3.22,USD,"Dec 10, 2020","Dec 10, 2020"
ADVOCATE HEALTH AND HOSPITALS CORP,Consumer Non-Cyclical,Fixed Income,"285,696.69",0.01,"285,696.69","228,000.00",007589AB0,US007589AB01,-,123.69,United States,-,USD,16.58,2.98,1.0,"Aug 15, 2048",4.27,16.81,-,2.96,16.62,2.96,USD,"Aug 16, 2018","Aug 16, 2018"
SOUTHERN BAPTIST HOSPITA,Consumer Non-Cyclical,Fixed Income,"285,359.84",0.01,"285,359.84","220,000.00",842329AA2,US842329AA23,BYY5G55,127.47,United States,-,USD,14.7,3.19,1.0,"Jul 15, 2045",4.86,14.9,-,3.17,14.71,3.17,USD,"Jun 01, 2015","Jun 01, 2015"
TELUS CORPORATION,Communications,Fixed Income,"285,019.65",0.01,"285,019.65","223,000.00",87971MBH5,US87971MBH51,BF5C5Q6,127.24,Canada,-,USD,16.47,3.1,1.0,"Nov 16, 2048",4.6,16.69,-,3.08,16.51,3.08,USD,"Jun 12, 2018","Jun 12, 2018"
PACIFIC GAS AND ELECTRIC CO,Electric,Fixed Income,"283,860.29",0.01,"283,860.29","285,000.00",694308GY7,US694308GY78,B6XRFT3,99.4,United States,-,USD,12.98,4.55,1.0,"Dec 15, 2041",4.5,13.03,-,4.55,13.03,4.55,USD,"Dec 01, 2011","Dec 01, 2011"
KINDER MORGAN ENERGY PARTNERS LP,Energy,Fixed Income,"283,855.19",0.01,"283,855.19","230,000.00",494550BW5,US494550BW59,BQS39P0,121.62,United States,-,USD,13.63,3.95,1.0,"Sep 01, 2044",5.4,13.77,-,3.93,13.59,3.93,USD,"Sep 11, 2014","Sep 11, 2014"
UNION ELECTRIC CO,Electric,Fixed Income,"283,809.43",0.01,"283,809.43","265,000.00",906548CQ3,US906548CQ39,-,106.29,United States,-,USD,18.18,2.92,1.0,"Oct 01, 2049",3.25,18.39,-,2.91,18.18,2.91,USD,"Oct 01, 2019","Oct 01, 2019"
RAYTHEON TECHNOLOGIES CORPORATION,Capital Goods,Fixed Income,"283,523.92",0.01,"283,523.92","250,000.00",75513ECC3,US75513ECC30,-,113.22,United States,-,USD,15.03,3.37,1.0,"Dec 15, 2044",4.2,15.2,-,3.36,14.99,3.36,USD,"Jun 15, 2020","Dec 08, 2020"
ALPHABET INC,Technology,Fixed Income,"283,593.64",0.01,"283,593.64","309,000.00",02079KAE7,US02079KAE73,BMD7ZG2,91.06,United States,-,USD,15.16,2.5,1.0,"Aug 15, 2040",1.9,15.29,-,2.5,15.29,2.5,USD,"Aug 05, 2020","Aug 05, 2020"
CHILDRENS HOSPITAL/DC,Consumer Non-Cyclical,Fixed Income,"283,401.42",0.01,"283,401.42","284,000.00",16876DAA6,US16876DAA63,-,98.44,United States,-,USD,18.72,3.01,1.0,"Jul 15, 2050",2.93,18.91,-,3.01,18.91,3.01,USD,"Aug 27, 2020","Aug 27, 2020"
FIDELITY NATIONAL INFORMATION SERV,Technology,Fixed Income,"282,319.25",0.01,"282,319.25","230,000.00",31620MAU0,US31620MAU09,BYMMY54,121.05,United States,-,USD,15.39,3.25,1.0,"Aug 15, 2046",4.5,15.58,-,3.24,15.39,3.24,USD,"Aug 16, 2016","Aug 16, 2016"
PPL ELECTRIC UTILITIES CORPORATION,Electric,Fixed Income,"282,046.90",0.01,"282,046.90","236,000.00",69351UAT0,US69351UAT07,BYWWQ92,118.47,United States,-,USD,15.5,3.05,1.0,"Oct 01, 2045",4.15,15.7,-,3.04,15.49,3.04,USD,"Oct 01, 2015","Oct 01, 2015"
MONDELEZ INTERNATIONAL INC,Consumer Non-Cyclical,Fixed Income,"281,948.72",0.01,"281,948.72","196,000.00",50075NAZ7,US50075NAZ78,B61GP25,141.29,United States,-,USD,11.67,3.42,1.0,"Feb 09, 2040",6.5,11.69,-,3.42,11.69,3.42,USD,"Feb 08, 2010","Feb 08, 2010"
TOLEDO HOSPITAL,Consumer Non-Cyclical,Fixed Income,"281,823.17",0.01,"281,823.17","240,000.00",889184AD9,US889184AD90,-,116.69,United States,-,USD,6.96,4.34,1.0,"Nov 15, 2038",5.75,11.18,-,3.04,5.75,3.04,USD,"Oct 25, 2018","Oct 25, 2018"
NORTHERN STATES POWER COMPANY (MIN,Electric,Fixed Income,"281,422.71",0.01,"281,422.71","248,000.00",665772CQ0,US665772CQ04,BD72XQ6,112.42,United States,-,USD,16.91,2.91,1.0,"Sep 15, 2047",3.6,17.12,-,2.9,16.9,2.9,USD,"Sep 13, 2017","Sep 13, 2017"
NATIONAL AUSTRALIA BANK LTD 144A,Banking,Fixed Income,"281,321.13",0.01,"281,321.13","296,000.00",632525AW1,US632525AW16,-,93.82,Australia,-,USD,14.5,3.08,1.0,"Jan 14, 2041",2.65,14.51,-,3.08,14.51,3.08,USD,"Jan 14, 2021","Jan 14, 2021"
ENTERPRISE PRODUCTS OPERATING LLC,Energy,Fixed Income,"280,803.80",0.01,"280,803.80","200,000.00",29379VAQ6,US29379VAQ68,B4NSDP4,138.25,United States,-,USD,11.88,3.61,1.0,"Sep 01, 2040",6.45,11.9,-,3.61,11.9,3.61,USD,"May 20, 2010","May 20, 2010"
WALMART INC,Consumer Cyclical,Fixed Income,"280,902.31",0.01,"280,902.31","220,000.00",931142DQ3,US931142DQ36,BLS12B6,126.86,United States,-,USD,14.98,2.69,1.0,"Apr 22, 2044",4.3,15.21,-,2.67,14.99,2.67,USD,"Apr 22, 2014","Apr 22, 2014"
UNITEDHEALTH GROUP INCORPORATED,Insurance,Fixed Income,"280,641.28",0.01,"280,641.28","180,000.00",91324PBK7,US91324PBK75,B2PHBR3,153.31,United States,-,USD,10.88,2.76,1.0,"Feb 15, 2038",6.88,10.91,-,2.76,10.91,2.76,USD,"Feb 07, 2008","Feb 07, 2008"
LOUISVILLE GAS AND ELECTRIC COMPAN,Electric,Fixed Income,"280,643.16",0.01,"280,643.16","240,000.00",546676AX5,US546676AX55,BYTX3K8,115.84,United States,-,USD,15.1,3.4,1.0,"Oct 01, 2045",4.38,15.27,-,3.38,15.07,3.38,USD,"Sep 28, 2015","Sep 28, 2015"
NEW YORK PRESBYTERIAN HOS,Consumer Non-Cyclical,Fixed Income,"280,584.46",0.01,"280,584.46","250,000.00",649322AC8,US649322AC84,BYXC9K3,110.75,United States,-,USD,11.37,2.67,1.0,"Aug 01, 2036",3.56,11.37,-,2.67,11.37,2.67,USD,"Jun 28, 2016","Jun 28, 2016"
SHERWIN-WILLIAMS COMPANY (THE),Basic Industry,Fixed Income,"280,310.57",0.01,"280,310.57","245,000.00",824348AQ9,US824348AQ95,B93L8Z3,114.23,United States,-,USD,14.43,3.07,1.0,"Dec 15, 2042",4.0,14.61,-,3.06,14.37,3.06,USD,"Dec 07, 2012","Dec 07, 2012"
NORTHWELL HEALTH,Consumer Non-Cyclical,Fixed Income,"280,236.32",0.01,"280,236.32","190,000.00",662352AB9,US662352AB99,BDT7XZ8,146.47,United States,-,USD,13.62,3.18,1.0,"Nov 01, 2043",6.15,13.69,-,3.18,13.69,3.18,USD,"Sep 17, 2013","Sep 17, 2013"
BAE SYSTEMS PLC 144A,Capital Goods,Fixed Income,"278,913.28",0.01,"278,913.28","284,000.00",05523RAE7,US05523RAE71,BMZ6CX3,97.33,United Kingdom,-,USD,18.65,3.14,1.0,"Sep 15, 2050",3.0,18.83,-,3.14,18.83,3.14,USD,"Sep 15, 2020","Sep 15, 2020"
AFLAC INCORPORATED,Insurance,Fixed Income,"278,458.84",0.01,"278,458.84","191,000.00",001055AF9,US001055AF96,B545395,143.35,United States,-,USD,11.97,3.31,1.0,"Aug 15, 2040",6.45,12.0,-,3.31,12.0,3.31,USD,"Aug 09, 2010","Aug 09, 2010"
NORTHROP GRUMMAN CORP,Capital Goods,Fixed Income,"278,438.13",0.01,"278,438.13","214,000.00",666807BD3,US666807BD31,B5WCY73,129.47,United States,-,USD,12.94,2.99,1.0,"Nov 15, 2040",5.05,12.99,-,2.99,12.99,2.99,USD,"Nov 08, 2010","Nov 08, 2010"
SOUTHWEST GAS CORP,Natural Gas,Fixed Income,"277,377.58",0.01,"277,377.58","286,000.00",845011AD7,US845011AD75,-,95.83,United States,-,USD,18.45,3.4,1.0,"Aug 15, 2051",3.18,18.61,-,3.4,18.61,3.4,USD,"Aug 20, 2021","Aug 20, 2021"
CONNECTICUT LIGHT AND POWER CO,Electric,Fixed Income,"277,155.53",0.01,"277,155.53","200,000.00",207597DV4,US207597DV42,B16FGJ6,138.05,United States,-,USD,10.24,3.06,1.0,"Jun 01, 2036",6.35,10.23,-,3.06,10.23,3.06,USD,"Jun 07, 2006","Jun 07, 2006"
MEGA ADVANCE INVESTMENTS LTD 144A,Natural Gas,Fixed Income,"276,716.22",0.01,"276,716.22","200,000.00",58516NAB0,US58516NAB01,B45HLM2,137.49,China,-,USD,12.29,3.66,1.0,"May 12, 2041",6.38,12.31,-,3.66,12.31,3.66,USD,"May 12, 2011","May 12, 2011"
MASSACHUSETTS MUTUAL LIFE INSURANC 144A,Insurance,Fixed Income,"276,697.06",0.01,"276,697.06","280,000.00",575767AR9,US575767AR94,-,98.48,United States,-,USD,22.06,3.27,1.0,"Dec 01, 2061",3.2,22.23,-,3.27,22.23,3.27,USD,"Nov 23, 2021","Nov 23, 2021"
HONEYWELL INTERNATIONAL INC,Capital Goods,Fixed Income,"276,272.87",0.01,"276,272.87","200,000.00",438516AT3,US438516AT30,B1VJTS3,136.46,United States,-,USD,10.84,2.75,1.0,"Mar 15, 2037",5.7,10.86,-,2.75,10.86,2.75,USD,"Mar 15, 2007","Mar 15, 2007"
MARS INC 144A,Consumer Non-Cyclical,Fixed Income,"275,877.27",0.01,"275,877.27","290,000.00",571676AL9,US571676AL99,BL9X3Q3,94.39,United States,-,USD,9.5,2.23,1.0,"Jul 16, 2032",1.63,9.52,-,2.23,9.52,2.23,USD,"Jul 16, 2020","Jul 16, 2020"
SUMITOMO MITSUI FINANCIAL GROUP IN,Banking,Fixed Income,"275,921.93",0.01,"275,921.93","277,000.00",86562MCK4,US86562MCK45,-,98.77,Japan,-,USD,14.7,3.01,1.0,"Sep 17, 2041",2.93,14.73,-,3.01,14.73,3.01,USD,"Sep 17, 2021","Sep 17, 2021"
AMEREN ILLINOIS CO,Electric,Fixed Income,"274,204.35",0.01,"274,204.35","225,000.00",02361DAN0,US02361DAN03,BNJ34Y2,119.72,United States,-,USD,14.69,3.08,1.0,"Jul 01, 2044",4.3,14.88,-,3.06,14.67,3.06,USD,"Jun 30, 2014","Jun 30, 2014"
ZOETIS INC,Consumer Non-Cyclical,Fixed Income,"274,244.91",0.01,"274,244.91","212,000.00",98978VAP8,US98978VAP85,BF8QNY9,127.74,United States,-,USD,16.48,2.94,1.0,"Aug 20, 2048",4.45,16.72,-,2.92,16.53,2.92,USD,"Aug 20, 2018","Aug 20, 2018"
ORLANDO HEALTH OBLIGATED GROUP,Consumer Non-Cyclical,Fixed Income,"274,182.20",0.01,"274,182.20","230,000.00",686514AF7,US686514AF73,BG13DC2,118.19,United States,-,USD,16.77,3.09,1.0,"Oct 01, 2048",4.09,16.98,-,3.07,16.79,3.07,USD,"Feb 06, 2018","Feb 06, 2018"
BOEING CO,Capital Goods,Fixed Income,"273,534.73",0.01,"273,534.73","285,000.00",097023BS3,US097023BS30,BD72429,95.83,United States,-,USD,16.21,3.63,1.0,"Jun 15, 2046",3.38,16.33,-,3.63,16.33,3.63,USD,"May 18, 2016","May 18, 2016"
KENTUCKY UTILITIES COMPANY,Electric,Fixed Income,"273,290.68",0.01,"273,290.68","260,000.00",491674BM8,US491674BM82,-,104.84,United States,-,USD,18.37,3.04,1.0,"Jun 01, 2050",3.3,18.57,-,3.04,18.37,3.04,USD,"Jun 03, 2020","Jun 03, 2020"
TELUS CORPORATION,Communications,Fixed Income,"272,927.50",0.01,"272,927.50","225,000.00",87971MBK8,US87971MBK80,BK0Y625,121.11,Canada,-,USD,16.93,3.15,1.0,"Jun 15, 2049",4.3,17.15,-,3.13,16.96,3.13,USD,"May 28, 2019","May 28, 2019"
SUNCOR ENERGY INC,Energy,Fixed Income,"272,428.71",0.01,"272,428.71","244,000.00",867224AB3,US867224AB33,BD5W818,111.14,Canada,-,USD,16.35,3.35,1.0,"Nov 15, 2047",4.0,16.53,-,3.34,16.33,3.34,USD,"Nov 15, 2017","Nov 15, 2017"
BETH ISRAEL LAHEY HEALTH,Consumer Non-Cyclical,Fixed Income,"272,163.65",0.01,"272,163.65","275,000.00",08661UAB2,US08661UAB26,-,98.58,United States,-,USD,18.94,3.15,1.0,"Jul 01, 2051",3.08,19.13,-,3.15,19.13,3.15,USD,"Nov 16, 2021","Nov 16, 2021"
SPIRIT REALTY LP,Reits,Fixed Income,"271,897.73",0.01,"271,897.73","272,000.00",84861TAJ7,US84861TAJ79,-,98.94,United States,-,USD,8.71,2.82,1.0,"Feb 15, 2032",2.7,8.7,-,2.82,8.7,2.82,USD,"Mar 03, 2021","Mar 03, 2021"
PRINCIPAL FINANCIAL GROUP INC,Insurance,Fixed Income,"271,635.20",0.01,"271,635.20","220,000.00",74251VAN2,US74251VAN29,BYN1J33,122.92,United States,-,USD,15.97,2.99,1.0,"Nov 15, 2046",4.3,16.19,-,2.97,15.99,2.97,USD,"Nov 10, 2016","Nov 10, 2016"
CODELCO INC. 144A,Owned No Guarantee,Fixed Income,"271,340.05",0.01,"271,340.05","205,000.00",21987BAL2,US21987BAL27,B1G5FT9,131.23,Chile,-,USD,10.36,3.44,1.0,"Oct 24, 2036",6.15,10.35,-,3.44,10.35,3.44,USD,"Oct 24, 2006","Oct 24, 2006"
KINDER MORGAN ENERGY PARTNERS LP,Energy,Fixed Income,"271,052.82",0.01,"271,052.82","193,000.00",494550AQ9,US494550AQ90,2187310,137.68,United States,-,USD,8.35,3.36,1.0,"Aug 15, 2033",7.3,8.31,-,3.36,8.31,3.36,USD,"Aug 19, 2002","Aug 19, 2002"
DOW CHEMICAL COMPANY (THE),Basic Industry,Fixed Income,"270,911.82",0.01,"270,911.82","222,000.00",260543CL5,US260543CL56,BQSBHN8,120.88,United States,-,USD,14.57,3.31,1.0,"Oct 01, 2044",4.63,14.75,-,3.29,14.54,3.29,USD,"Sep 16, 2014","Sep 16, 2014"
STANLEY BLACK & DECKER INC,Capital Goods,Fixed Income,"270,049.00",0.01,"270,049.00","202,000.00",854502AJ0,US854502AJ02,BGLT159,133.07,United States,-,USD,16.33,3.04,1.0,"Nov 15, 2048",4.85,16.57,-,3.02,16.39,3.02,USD,"Nov 06, 2018","Nov 06, 2018"
AMERICAN INTERNATIONAL GROUP INC,Insurance,Fixed Income,"269,729.33",0.01,"269,729.33","222,000.00",026874DE4,US026874DE41,BYMMP95,119.27,United States,-,USD,9.99,2.96,1.0,"Jul 10, 2035",4.7,10.14,-,2.91,9.86,2.91,USD,"Jul 10, 2015","Jul 10, 2015"
MOSAIC CO,Basic Industry,Fixed Income,"269,422.04",0.01,"269,422.04","230,000.00",61945CAB9,US61945CAB90,B74WKS8,116.52,United States,-,USD,13.06,3.69,1.0,"Nov 15, 2041",4.88,13.19,-,3.68,12.98,3.68,USD,"Oct 24, 2011","Oct 24, 2011"
PRUDENTIAL FINANCIAL INC MTN,Insurance,Fixed Income,"268,847.80",0.01,"268,847.80","260,000.00",74432QCJ2,US74432QCJ22,-,102.48,United States,-,USD,13.75,2.82,1.0,"Mar 10, 2040",3.0,13.89,-,2.82,13.6,2.82,USD,"Mar 10, 2020","Mar 10, 2020"
UNION ELECTRIC CO,Electric,Fixed Income,"268,383.01",0.01,"268,383.01","240,000.00",906548CL4,US906548CL42,BWT1YM7,111.06,United States,-,USD,15.77,2.99,1.0,"Apr 15, 2045",3.65,15.96,-,2.98,15.73,2.98,USD,"Apr 06, 2015","Apr 06, 2015"
FLORIDA POWER AND LIGHT CO,Electric,Fixed Income,"268,028.10",0.01,"268,028.10","200,000.00",341081EQ6,US341081EQ63,2579467,132.61,United States,-,USD,9.29,2.52,1.0,"Apr 01, 2034",5.63,9.28,-,2.52,9.28,2.52,USD,"Apr 04, 2003","Apr 04, 2003"
AVALONBAY COMMUNITIES INC MTN,Reits,Fixed Income,"268,014.52",0.01,"268,014.52","208,000.00",05348EBE8,US05348EBE86,BDVQ1R1,127.93,United States,-,USD,16.59,2.84,1.0,"Apr 15, 2048",4.35,16.84,-,2.82,16.64,2.82,USD,"Mar 26, 2018","Mar 26, 2018"
AEP TRANSMISSION COMPANY LLC,Electric,Fixed Income,"267,915.44",0.01,"267,915.44","237,000.00",00115AAK5,US00115AAK51,BGBN0G5,112.88,United States,-,USD,17.42,3.1,1.0,"Jun 15, 2049",3.8,17.63,-,3.09,17.43,3.09,USD,"Jun 12, 2019","Jun 12, 2019"
CINCINNATI CHILDRENS HOSPITAL MEDI,Consumer Non-Cyclical,Fixed Income,"267,651.51",0.01,"267,651.51","211,000.00",16876AAA2,US16876AAA25,BSLVGD2,126.3,United States,-,USD,15.21,2.69,1.0,"May 15, 2044",4.27,15.29,-,2.69,15.29,2.69,USD,"Nov 06, 2014","Nov 06, 2014"
DTE ELECTRIC CO,Electric,Fixed Income,"265,437.04",0.01,"265,437.04","235,000.00",23338VAF3,US23338VAF31,BD6NXB5,112.64,United States,-,USD,16.31,2.97,1.0,"Jun 01, 2046",3.7,16.51,-,2.96,16.29,2.96,USD,"May 17, 2016","May 17, 2016"
AMERICAN EXPRESS CO,Banking,Fixed Income,"265,408.36",0.01,"265,408.36","223,000.00",025816BF5,US025816BF52,B968SP1,118.7,United States,-,USD,14.6,2.86,1.0,"Dec 03, 2042",4.05,14.67,-,2.86,14.67,2.86,USD,"Dec 03, 2012","Feb 26, 2013"
KIMBERLY-CLARK CORPORATION,Consumer Non-Cyclical,Fixed Income,"264,933.46",0.01,"264,933.46","220,000.00",494368BW2,US494368BW28,BF2YLV2,119.81,United States,-,USD,16.62,2.8,1.0,"May 04, 2047",3.9,16.85,-,2.79,16.64,2.79,USD,"May 04, 2017","May 04, 2017"
NEW YORK AND PRESBYTERIAN HOSPITAL,Consumer Non-Cyclical,Fixed Income,"264,697.49",0.01,"264,697.49","275,000.00",649322AJ3,US649322AJ38,-,95.17,United States,-,USD,23.31,2.81,1.0,"Aug 01, 2060",2.61,23.57,-,2.81,23.57,2.81,USD,"Aug 19, 2020","Aug 19, 2020"
NORTHERN STATES POWER CO (MINNESOT,Electric,Fixed Income,"264,580.52",0.01,"264,580.52","210,000.00",665772CG2,US665772CG22,B4XZRC0,124.16,United States,-,USD,12.6,3.13,1.0,"Aug 15, 2040",4.85,12.78,-,3.1,12.55,3.1,USD,"Aug 11, 2010","Aug 11, 2010"
PARKER HANNIFIN CORP,Capital Goods,Fixed Income,"264,435.00",0.01,"264,435.00","225,000.00",701094AL8,US701094AL88,BF1GF73,116.16,United States,-,USD,16.01,3.16,1.0,"Mar 01, 2047",4.1,16.2,-,3.15,16.01,3.15,USD,"Sep 01, 2017","Dec 11, 2017"
SOUTHWESTERN PUBLIC SERVICE COMPAN,Electric,Fixed Income,"263,949.26",0.01,"263,949.26","210,000.00",845743BS1,US845743BS15,BGYKMF6,125.13,United States,-,USD,16.68,3.03,1.0,"Nov 15, 2048",4.4,16.9,-,3.01,16.72,3.01,USD,"Nov 05, 2018","Nov 05, 2018"
ORLANDO HEALTH INC,Consumer Non-Cyclical,Fixed Income,"263,810.12",0.01,"263,810.12","250,000.00",686514AH3,US686514AH30,-,104.69,United States,-,USD,17.69,3.07,1.0,"Oct 01, 2050",3.33,17.8,-,3.07,17.75,3.07,USD,"Oct 07, 2020","Oct 07, 2020"
COMMONWEALTH EDISON COMPANY,Electric,Fixed Income,"263,298.47",0.01,"263,298.47","250,000.00",202795JQ4,US202795JQ44,-,104.91,United States,-,USD,18.34,2.94,1.0,"Nov 15, 2049",3.2,18.54,-,2.94,18.33,2.94,USD,"Nov 12, 2019","Nov 12, 2019"
MARRIOTT INTERNATIONAL INC,Consumer Cyclical,Fixed Income,"262,328.57",0.01,"262,328.57","230,000.00",571903AX1,US571903AX17,BYQ4R35,112.93,United States,-,USD,9.67,3.25,1.0,"Oct 01, 2034",4.5,9.78,-,3.21,9.49,3.21,USD,"Oct 01, 2016","Dec 16, 2016"
BLACKSTONE HOLDINGS FINANCE CO LLC 144A,Brokerage/Asset Managers/Exchanges,Fixed Income,"260,904.54",0.01,"260,904.54","175,000.00",09256BAE7,US09256BAE74,B835GY3,146.73,United States,-,USD,12.98,3.15,1.0,"Aug 15, 2042",6.25,13.04,-,3.15,13.04,3.15,USD,"Aug 17, 2012","Aug 17, 2012"
AXIS SPECIALTY FINANCE PLC,Insurance,Fixed Income,"260,620.62",0.01,"260,620.62","213,000.00",05464HAB6,US05464HAB69,BKL56D8,121.07,United States,-,USD,14.26,3.78,1.0,"Apr 01, 2045",5.15,14.3,-,3.78,14.3,3.78,USD,"Mar 13, 2014","Mar 13, 2014"
SOUTHWESTERN PUBLIC SERVICE COMPAN,Electric,Fixed Income,"259,924.58",0.01,"259,924.58","248,000.00",845743BU6,US845743BU60,-,104.28,United States,-,USD,18.58,2.93,1.0,"May 01, 2050",3.15,18.79,-,2.92,18.58,2.92,USD,"May 18, 2020","May 18, 2020"
MAPLE GROVE FUNDING TRUST I 144A,Insurance,Fixed Income,"259,610.08",0.01,"259,610.08","250,000.00",565130AA9,US565130AA94,-,102.97,United States,-,USD,16.85,3.99,1.0,"Aug 15, 2051",4.16,16.99,-,3.99,16.84,3.99,USD,"Oct 15, 2021","Oct 15, 2021"
INTERSTATE POWER AND LIGHT CO,Electric,Fixed Income,"259,200.44",0.01,"259,200.44","230,000.00",461070AN4,US461070AN44,BD1LVH6,111.61,United States,-,USD,16.29,3.03,1.0,"Sep 15, 2046",3.7,16.48,-,3.02,16.27,3.02,USD,"Sep 15, 2016","Sep 15, 2016"
