,,,,,,,,,,,,,,,,,,,,,,,,,,iShares ESG Advanced High Yield Corporate Bond ETF
MERITAGE HOMES CORP 144A,Consumer Cyclical,Fixed Income,"111,539.46",0.08,"111,539.46","105,000.00",59001ABD3,US59001ABD37,-,105.41,United States,-,USD,6.12,3.04,1.0,"Apr 15, 2029",3.88,6.3,-,2.99,5.92,2.99,USD,"Apr 15, 2021","Apr 15, 2021"
HILL-ROM HOLDINGS INC 144A,Consumer Non-Cyclical,Fixed Income,"111,266.60",0.08,"111,266.60","105,000.00",431475AD4,US431475AD40,BK5GTQ1,104.68,United States,-,USD,0.84,3.46,1.0,"Sep 15, 2027",4.38,4.98,-,0.81,0.69,0.81,USD,"Sep 19, 2019","Sep 19, 2019"
NETFLIX INC,Communications,Fixed Income,"111,085.67",0.08,"111,085.67","100,000.00",64110LAG1,US64110LAG14,BVZ6RH5,109.17,United States,-,USD,2.03,1.44,1.0,"Mar 01, 2024",5.75,2.02,-,1.44,2.02,1.44,USD,"Feb 19, 2014","Feb 19, 2014"
FAIR ISAAC CORP 144A,Technology,Fixed Income,"110,854.83",0.08,"110,854.83","100,000.00",303250AE4,US303250AE41,BD2NL82,110.18,United States,-,USD,3.77,2.76,1.0,"May 15, 2026",5.25,3.91,-,2.63,3.7,2.63,USD,"May 08, 2018","May 08, 2018"
SENSATA TECHNOLOGIES BV 144A,Technology,Fixed Income,"110,827.88",0.08,"110,827.88","100,000.00",81725WAH6,US81725WAH60,BRJ6VF9,109.91,Netherlands,-,USD,2.64,2.01,1.0,"Nov 01, 2024",5.63,2.62,-,2.01,2.62,2.01,USD,"Oct 14, 2014","Oct 14, 2014"
PITNEY BOWES INC 144A,Technology,Fixed Income,"110,475.02",0.08,"110,475.02","105,000.00",724479AP5,US724479AP57,BNC23N8,103.19,United States,-,USD,3.79,6.15,1.0,"Mar 15, 2027",6.88,4.26,-,6.0,3.56,6.0,USD,"Mar 19, 2021","Mar 19, 2021"
HILTON DOMESTIC OPERATING COMPANY 144A,Consumer Cyclical,Fixed Income,"110,114.38",0.08,"110,114.38","105,000.00",432833AG6,US432833AG67,-,103.97,United States,-,USD,0.33,4.09,1.0,"May 01, 2025",5.38,3.01,-,1.44,0.33,1.44,USD,"Apr 21, 2020","Apr 21, 2020"
HEXCEL CORPORATION,Capital Goods,Fixed Income,"108,512.67",0.08,"108,512.67","100,000.00",428291AN8,US428291AN87,BYWC807,106.93,United States,-,USD,4.45,2.74,1.0,"Feb 15, 2027",4.2,4.55,-,2.67,4.35,2.67,USD,"Feb 16, 2017","Feb 16, 2017"
PTC INC 144A,Technology,Fixed Income,"108,464.07",0.08,"108,464.07","105,000.00",69370CAC4,US69370CAC47,-,101.79,United States,-,USD,3.48,3.67,1.0,"Feb 15, 2028",4.0,5.32,-,3.53,3.72,3.53,USD,"Feb 13, 2020","Feb 13, 2020"
AERCAP GLOBAL AVIATION TRUST 144A,Finance Companies,Fixed Income,"108,355.89",0.08,"108,355.89","100,000.00",00773HAA5,US00773HAA59,BYP0JP0,108.07,Ireland,-,USD,3.05,4.39,1.0,"Jun 15, 2045",6.5,2.94,-,3.98,3.09,3.98,USD,"Jun 09, 2015","Jun 09, 2015"
TELEFLEX INCORPORATED 144A,Consumer Non-Cyclical,Fixed Income,"108,361.23",0.08,"108,361.23","105,000.00",879369AG1,US879369AG12,-,102.85,United States,-,USD,2.12,3.75,1.0,"Jun 01, 2028",4.25,5.57,-,2.2,1.37,2.2,USD,"May 27, 2020","May 27, 2020"
CARSCOM INC 144A,Consumer Cyclical,Fixed Income,"107,482.50",0.07,"107,482.50","100,000.00",14575EAA3,US14575EAA38,-,106.42,United States,-,USD,3.13,5.24,1.0,"Nov 01, 2028",6.38,5.49,-,4.38,1.71,4.38,USD,"Oct 30, 2020","Oct 30, 2020"
BERRY PLASTICS ESCROW CORP 144A,Capital Goods,Fixed Income,"107,027.75",0.07,"107,027.75","100,000.00",085770AB1,US085770AB14,BJKFFK2,104.43,United States,-,USD,0.94,4.71,1.0,"Jul 15, 2027",5.63,4.63,-,2.5,0.52,2.5,USD,"Jun 05, 2019","Jun 05, 2019"
MUELLER WATER PRODUCTS INC 144A,Capital Goods,Fixed Income,"106,564.27",0.07,"106,564.27","105,000.00",624758AF5,US624758AF53,-,101.31,United States,-,USD,4.19,3.8,1.0,"Jun 15, 2029",4.0,6.39,-,3.44,2.32,3.44,USD,"May 28, 2021","May 28, 2021"
GRAPHIC PACKAGING INTERNATIONAL LL 144A,Basic Industry,Fixed Income,"106,547.18",0.07,"106,547.18","105,000.00",38869AAD9,US38869AAD90,-,101.04,United States,-,USD,6.79,3.6,1.0,"Feb 01, 2030",3.75,6.91,-,3.59,6.54,3.59,USD,"Nov 19, 2021","Nov 19, 2021"
CENTRAL GARDEN & PET COMPANY 144A,Consumer Non-Cyclical,Fixed Income,"106,352.91",0.07,"106,352.91","105,000.00",153527AP1,US153527AP10,-,100.6,United States,-,USD,6.34,4.05,1.0,"Apr 30, 2031",4.13,7.64,-,4.03,6.24,4.03,USD,"Apr 30, 2021","Apr 30, 2021"
PARK INTERMEDIATE HOLDINGS LLC 144A,Reits,Fixed Income,"106,145.00",0.07,"106,145.00","100,000.00",70052LAA1,US70052LAA17,BMTCZG1,105.52,United States,-,USD,0.42,5.7,1.0,"Jun 01, 2025",7.5,2.99,-,-5.0,0.43,-5.0,USD,"May 29, 2020","May 29, 2020"
IHS MARKIT LTD,Technology,Fixed Income,"105,440.10",0.07,"105,440.10","100,000.00",44962LAH0,US44962LAH06,BJRF806,104.85,United States,-,USD,2.17,1.51,1.0,"May 01, 2024",3.63,2.23,-,1.43,2.16,1.43,USD,"Apr 08, 2019","Apr 08, 2019"
TRAVEL + LEISURE CO,Consumer Cyclical,Fixed Income,"105,225.80",0.07,"105,225.80","95,000.00",98310WAN8,US98310WAN83,BF083Z4,109.26,United States,-,USD,4.38,4.02,1.0,"Apr 01, 2027",6.0,4.47,-,3.94,4.28,3.94,USD,"Mar 21, 2017","Mar 21, 2017"
WILLIAM CARTER COMPANY (THE) 144A,Consumer Cyclical,Fixed Income,"105,002.25",0.07,"105,002.25","100,000.00",96926JAC1,US96926JAC18,BHL3SB3,103.35,United States,-,USD,0.64,4.89,1.0,"Mar 15, 2027",5.63,4.42,-,2.89,0.2,2.89,USD,"Mar 14, 2019","Mar 14, 2019"
GRAHAM HOLDINGS CO 144A,Communications,Fixed Income,"104,618.17",0.07,"104,618.17","100,000.00",384637AA2,US384637AA23,BFCCDK9,104.14,United States,-,USD,0.69,4.7,1.0,"Jun 01, 2026",5.75,3.87,-,2.6,0.41,2.6,USD,"May 30, 2018","May 30, 2018"
IAA SPINCO INC 144A,Consumer Cyclical,Fixed Income,"103,972.44",0.07,"103,972.44","100,000.00",449253AB9,US449253AB91,BJVH897,103.73,United States,-,USD,1.26,4.72,1.0,"Jun 15, 2027",5.5,4.68,-,3.23,0.45,3.23,USD,"Jun 06, 2019","Jun 06, 2019"
GANNETT HOLDINGS LLC 144A,Communications,Fixed Income,"103,662.67",0.07,"103,662.67","100,000.00",36474GAA3,US36474GAA31,-,102.4,United States,-,USD,3.61,5.43,1.0,"Nov 01, 2026",6.0,4.11,-,5.3,3.36,5.3,USD,"Oct 15, 2021","Oct 15, 2021"
RADIAN GROUP INC,Insurance,Fixed Income,"103,313.85",0.07,"103,313.85","95,000.00",750236AW1,US750236AW16,BJQ3RC6,107.32,United States,-,USD,4.32,3.33,1.0,"Mar 15, 2027",4.88,4.55,-,3.19,4.16,3.19,USD,"Jun 24, 2019","Jun 24, 2019"
KORN FERRY 144A,Consumer Cyclical,Fixed Income,"103,254.56",0.07,"103,254.56","100,000.00",50067PAA7,US50067PAA75,-,103.05,United States,-,USD,2.78,4.04,1.0,"Dec 15, 2027",4.63,5.17,-,3.53,2.75,3.53,USD,"Dec 16, 2019","Dec 16, 2019"
SYNAPTICS INCORPORATED 144A,Technology,Fixed Income,"102,248.78",0.07,"102,248.78","100,000.00",87157DAG4,US87157DAG43,-,102.07,United States,-,USD,4.72,3.68,1.0,"Jun 15, 2029",4.0,6.4,-,3.49,4.05,3.49,USD,"Mar 11, 2021","Mar 11, 2021"
MACYS RETAIL HOLDINGS INC,Consumer Cyclical,Fixed Income,"102,164.11",0.07,"102,164.11","100,000.00",55616XAH0,US55616XAH08,B92RSX0,101.08,United States,-,USD,0.89,1.9,1.0,"Feb 15, 2023",2.88,1.09,-,1.63,0.85,1.63,USD,"Nov 20, 2012","Nov 20, 2012"
NORDSTROM INC,Consumer Cyclical,Fixed Income,"102,034.75",0.07,"102,034.75","100,000.00",655664AT7,US655664AT70,-,100.94,United States,-,USD,6.8,4.24,1.0,"Apr 01, 2030",4.38,6.8,-,4.23,6.63,4.23,USD,"Nov 06, 2019","Nov 06, 2019"
BRINKS CO 144A,Consumer Cyclical,Fixed Income,"101,671.96",0.07,"101,671.96","95,000.00",109696AB0,US109696AB05,-,104.49,United States,-,USD,0.48,4.12,1.0,"Jul 15, 2025",5.5,3.13,-,1.7,0.44,1.7,USD,"Jun 22, 2020","Jun 22, 2020"
DKT FINANCE APS 144A,Communications,Fixed Income,"101,468.54",0.07,"101,468.54","100,000.00",255882AA0,US255882AA01,BG31VW0,101.13,Denmark,-,USD,0.46,8.53,1.0,"Jun 17, 2023",9.38,1.34,-,6.84,0.45,6.84,USD,"Jul 02, 2018","Jul 02, 2018"
FOOT LOCKER INC 144A,Consumer Cyclical,Fixed Income,"101,076.55",0.07,"101,076.55","100,000.00",344849AA2,US344849AA21,-,100.12,United States,-,USD,5.28,3.98,1.0,"Oct 01, 2029",4.0,6.55,-,3.97,4.25,3.97,USD,"Oct 05, 2021","Oct 05, 2021"
VIAVI SOLUTIONS INC 144A,Technology,Fixed Income,"100,907.33",0.07,"100,907.33","100,000.00",925550AF2,US925550AF21,-,99.95,United States,-,USD,5.31,3.76,1.0,"Oct 01, 2029",3.75,6.61,-,3.76,6.61,3.76,USD,"Sep 29, 2021","Sep 29, 2021"
GRAY TELEVISION INC 144A,Communications,Fixed Income,"100,793.13",0.07,"100,793.13","95,000.00",389375AJ5,US389375AJ52,BYYYV02,103.39,United States,-,USD,0.08,5.03,1.0,"Jul 15, 2026",5.88,3.86,-,-0.31,0.07,-0.31,USD,"Jun 14, 2016","Jun 14, 2016"
CARRIAGE SERVICES INC 144A,Consumer Cyclical,Fixed Income,"100,638.06",0.07,"100,638.06","100,000.00",143905AP2,US143905AP21,-,100.1,United States,-,USD,5.04,4.23,1.0,"May 15, 2029",4.25,6.24,-,4.22,3.93,4.22,USD,"May 13, 2021","May 13, 2021"
KONTOOR BRANDS INC 144A,Consumer Cyclical,Fixed Income,"100,590.71",0.07,"100,590.71","100,000.00",50050NAA1,US50050NAA19,-,100.1,United States,-,USD,5.39,4.11,1.0,"Nov 15, 2029",4.13,6.63,-,4.1,4.35,4.1,USD,"Nov 18, 2021","Nov 18, 2021"
AMERICAN AXLE & MANUFACTURING INC,Consumer Cyclical,Fixed Income,"100,378.35",0.07,"100,378.35","90,000.00",02406PBA7,US02406PBA75,-,108.09,United States,-,USD,2.05,5.38,1.0,"Jul 01, 2028",6.88,5.1,-,3.53,1.39,3.53,USD,"Jun 12, 2020","Jun 12, 2020"
CABLEVISION LIGHTPATH CT LLC 144A,Communications,Fixed Income,"100,325.25",0.07,"100,325.25","100,000.00",12687GAB5,US12687GAB59,-,98.67,United States,-,USD,4.73,5.87,1.0,"Sep 15, 2028",5.63,5.42,-,5.87,5.42,5.87,USD,"Sep 29, 2020","Sep 29, 2020"
TRAVEL + LEISURE CO,Consumer Cyclical,Fixed Income,"100,288.30",0.07,"100,288.30","97,000.00",98310WAL2,US98310WAL28,B9B48W1,102.09,United States,-,USD,0.9,2.08,1.0,"Mar 01, 2023",3.9,1.13,-,1.59,0.89,1.59,USD,"Feb 22, 2013","Feb 22, 2013"
REALOGY GROUP LLC / REALOGY CO ISS 144A,Consumer Cyclical,Fixed Income,"98,445.89",0.07,"98,445.89","95,000.00",75606DAE1,US75606DAE13,BYVGB89,103.22,United States,-,USD,1.14,2.54,1.0,"Jun 01, 2023",4.88,1.36,-,2.07,1.13,2.07,USD,"Jun 01, 2016","Jun 01, 2016"
NIELSEN COMPANY LUXEMBOURG SARL 144A,Technology,Fixed Income,"98,435.62",0.07,"98,435.62","95,000.00",65410CAC4,US65410CAC47,BD7F923,101.55,United States,-,USD,0.09,4.46,1.0,"Feb 01, 2025",5.0,2.78,-,1.5,0.09,1.5,USD,"Jan 31, 2017","Jan 31, 2017"
KRATON POLYMERS LLC 144A,Basic Industry,Fixed Income,"98,414.19",0.07,"98,414.19","95,000.00",50076XAC5,US50076XAC56,-,103.41,United States,-,USD,2.08,3.32,1.0,"Dec 15, 2025",4.25,3.62,-,2.82,0.93,2.82,USD,"Dec 21, 2020","Dec 21, 2020"
CABLEVISION LIGHTPATH CT LLC 144A,Communications,Fixed Income,"98,189.97",0.07,"98,189.97","100,000.00",12687GAA7,US12687GAA76,-,97.05,United States,-,USD,4.64,4.47,1.0,"Sep 15, 2027",3.88,4.99,-,4.47,4.99,4.47,USD,"Sep 29, 2020","Sep 29, 2020"
CONSOLIDATED COMMUNICATIONS INC 144A,Communications,Fixed Income,"98,127.40",0.07,"98,127.40","95,000.00",20903XAH6,US20903XAH61,-,102.04,United States,-,USD,4.54,4.64,1.0,"Oct 01, 2028",5.0,5.62,-,4.52,4.15,4.52,USD,"Mar 18, 2021","Mar 18, 2021"
DANA INC,Consumer Cyclical,Fixed Income,"98,122.33",0.07,"98,122.33","95,000.00",235825AH9,US235825AH97,-,101.87,United States,-,USD,5.95,3.99,1.0,"Sep 01, 2030",4.25,7.11,-,3.95,6.18,3.95,USD,"May 13, 2021","May 13, 2021"
EMERGENT BIOSOLUTIONS INC 144A,Consumer Non-Cyclical,Fixed Income,"97,375.89",0.07,"97,375.89","100,000.00",29089QAC9,US29089QAC96,BMDNMS1,95.91,United States,-,USD,5.19,4.6,1.0,"Aug 15, 2028",3.88,5.67,-,4.6,5.67,4.6,USD,"Aug 07, 2020","Aug 07, 2020"
CSC HOLDINGS LLC 144A,Communications,Fixed Income,"97,165.89",0.07,"97,165.89","100,000.00",126307BK2,US126307BK24,-,96.53,United States,-,USD,7.01,5.46,1.0,"Nov 15, 2031",5.0,7.61,-,5.46,7.61,5.46,USD,"May 13, 2021","May 13, 2021"
FLEX ACQUISITION COMPANY INC 144A,Capital Goods,Fixed Income,"96,758.32",0.07,"96,758.32","90,000.00",33936YAC9,US33936YAC93,BFZLNC5,103.88,United States,-,USD,0.62,6.86,1.0,"Jul 15, 2026",7.88,3.66,-,4.17,0.51,4.17,USD,"Jun 29, 2018","Jun 29, 2018"
BURFORD CAPITAL GLOBAL FINANCE LLC 144A,Financial Other,Fixed Income,"96,685.60",0.07,"96,685.60","90,000.00",12116LAA7,US12116LAA70,-,106.11,United States,-,USD,3.61,5.1,1.0,"Apr 15, 2028",6.25,5.14,-,4.66,3.71,4.66,USD,"Apr 05, 2021","Apr 05, 2021"
HOLOGIC INC 144A,Consumer Non-Cyclical,Fixed Income,"96,300.98",0.07,"96,300.98","90,000.00",436440AM3,US436440AM32,BFNJ923,105.07,United States,-,USD,1.77,3.69,1.0,"Feb 01, 2028",4.63,5.2,-,1.99,1.04,1.99,USD,"Jan 19, 2018","Jan 19, 2018"
STARWOOD PROPERTY TRUST INC 144A,Reits,Fixed Income,"96,263.18",0.07,"96,263.18","95,000.00",85571BAW5,US85571BAW54,-,101.16,United States,-,USD,2.76,3.33,1.0,"Dec 31, 2024",3.75,2.82,-,3.3,2.59,3.3,USD,"Dec 15, 2021","Dec 15, 2021"
LITHIA MOTORS INC 144A,Consumer Cyclical,Fixed Income,"94,820.90",0.07,"94,820.90","90,000.00",536797AE3,US536797AE38,-,105.15,United States,-,USD,2.34,3.65,1.0,"Dec 15, 2027",4.63,5.19,-,2.73,0.93,2.73,USD,"Dec 09, 2019","Dec 09, 2019"
KRAFT HEINZ FOODS CO,Consumer Non-Cyclical,Fixed Income,"94,783.06",0.07,"94,783.06","76,000.00",50077LAL0,US50077LAL09,BZ4V7B3,122.41,United States,-,USD,9.88,2.98,1.0,"Jul 15, 2035",5.0,10.04,-,2.92,9.77,2.92,USD,"Jul 15, 2016","Aug 19, 2016"
OUTFRONT MEDIA CAPITAL LLC 144A,Communications,Fixed Income,"94,457.50",0.07,"94,457.50","90,000.00",69007TAD6,US69007TAD63,BLD4JZ3,104.68,United States,-,USD,0.59,4.77,1.0,"Jun 15, 2025",6.25,3.09,-,2.71,0.45,2.71,USD,"May 15, 2020","May 15, 2020"
AMERICAN AXLE AND MANUFACTURING IN,Consumer Cyclical,Fixed Income,"93,647.05",0.06,"93,647.05","90,000.00",02406PAY6,US02406PAY60,BG1XGV2,102.21,United States,-,USD,0.22,5.65,1.0,"Mar 15, 2026",6.25,3.6,-,2.97,0.2,2.97,USD,"Mar 26, 2018","Mar 26, 2018"
ASBURY AUTOMOTIVE GROUP INC.,Consumer Cyclical,Fixed Income,"93,366.00",0.06,"93,366.00","90,000.00",043436AU8,US043436AU81,BMCVTF2,102.24,United States,-,USD,3.41,4.08,1.0,"Mar 01, 2028",4.5,5.28,-,3.74,2.89,3.74,USD,"Sep 01, 2020","Nov 10, 2020"
KRAFT HEINZ FOODS CO,Consumer Non-Cyclical,Fixed Income,"92,619.82",0.06,"92,619.82","85,000.00",50077LAV8,US50077LAV80,BKSYG27,108.03,United States,-,USD,6.98,2.66,1.0,"Apr 01, 2030",3.75,7.07,-,2.63,6.88,2.63,USD,"Oct 01, 2020","Jan 19, 2021"
CINEMARK USA INC 144A,Consumer Cyclical,Fixed Income,"92,464.98",0.06,"92,464.98","90,000.00",172441BD8,US172441BD81,-,101.01,United States,-,USD,3.29,5.6,1.0,"Mar 15, 2026",5.88,3.63,-,5.52,2.84,5.52,USD,"Mar 16, 2021","Mar 16, 2021"
BOISE CASCADE CO 144A,Capital Goods,Fixed Income,"91,615.98",0.06,"91,615.98","85,000.00",09739DAD2,US09739DAD21,BL9Y645,105.35,United States,-,USD,4.91,4.12,1.0,"Jul 01, 2030",4.88,6.81,-,3.93,3.14,3.93,USD,"Jul 27, 2020","Jul 27, 2020"
NATIONAL CINEMEDIA LLC 144A,Communications,Fixed Income,"90,961.28",0.06,"90,961.28","100,000.00",63530QAJ8,US63530QAJ85,BKMQP00,89.72,United States,-,USD,5.14,7.98,1.0,"Apr 15, 2028",5.88,5.02,-,7.98,5.02,7.98,USD,"Oct 08, 2019","Oct 08, 2019"
DANA INC,Consumer Cyclical,Fixed Income,"89,832.93",0.06,"89,832.93","85,000.00",235825AF3,US235825AF32,-,105.0,United States,-,USD,1.58,4.4,1.0,"Nov 15, 2027",5.38,4.99,-,2.6,0.85,2.6,USD,"Nov 20, 2019","Nov 20, 2019"
SEALED AIR CORPORATION 144A,Capital Goods,Fixed Income,"89,377.07",0.06,"89,377.07","85,000.00",81211KAU4,US81211KAU43,B91M773,103.84,United States,-,USD,0.98,2.12,1.0,"Apr 01, 2023",5.25,1.2,-,1.37,0.96,1.37,USD,"Mar 21, 2013","Mar 21, 2013"
EXELA INTERMEDIATE LLC 144A,Technology,Fixed Income,"89,075.29",0.06,"89,075.29","115,000.00",30162RAC5,US30162RAC51,BPDWXV9,76.75,United States,-,USD,3.47,19.39,1.0,"Jul 15, 2026",11.5,3.19,-,19.39,3.19,19.39,USD,"Dec 09, 2021","Dec 09, 2021"
DANA FINANCING LUXEMBOURG SARL 144A,Consumer Cyclical,Fixed Income,"88,252.03",0.06,"88,252.03","85,000.00",235822AB9,US235822AB96,BYPBX73,102.63,United States,-,USD,0.29,4.87,1.0,"Apr 15, 2025",5.75,2.94,-,1.61,0.29,1.61,USD,"Apr 04, 2017","Apr 04, 2017"
ENCOMPASS HEALTH CORP,Consumer Non-Cyclical,Fixed Income,"87,736.36",0.06,"87,736.36","85,000.00",29261AAE0,US29261AAE01,-,102.06,United States,-,USD,6.08,4.35,1.0,"Apr 01, 2031",4.63,7.4,-,4.35,7.4,4.35,USD,"Oct 05, 2020","Oct 05, 2020"
SPECTRUM BRANDS INC,Consumer Non-Cyclical,Fixed Income,"85,963.38",0.06,"85,963.38","82,000.00",84762LAU9,US84762LAU98,BD9N099,102.18,United States,-,USD,0.08,5.07,1.0,"Jul 15, 2025",5.75,3.1,-,2.06,0.07,2.06,USD,"Jan 15, 2016","Feb 08, 2016"
MERITAGE HOMES CORP,Consumer Cyclical,Fixed Income,"85,363.96",0.06,"85,363.96","76,000.00",59001AAY8,US59001AAY82,BYR88Z5,111.82,United States,-,USD,2.92,2.38,1.0,"Jun 01, 2025",6.0,3.11,-,2.12,2.9,2.12,USD,"Jun 02, 2015","Aug 03, 2015"
COVANTA HOLDING CORP,Capital Goods,Fixed Income,"84,997.60",0.06,"84,997.60","80,000.00",22282EAH5,US22282EAH53,BF5B2X9,103.25,United States,-,USD,0.11,5.25,1.0,"Jan 01, 2027",6.0,4.17,-,2.6,0.07,2.6,USD,"Oct 18, 2018","Oct 18, 2018"
ENTEGRIS INC 144A,Technology,Fixed Income,"83,287.69",0.06,"83,287.69","80,000.00",29362UAC8,US29362UAC80,-,103.19,United States,-,USD,3.16,3.8,1.0,"Apr 15, 2028",4.38,5.43,-,3.34,3.03,3.34,USD,"Apr 30, 2020","Apr 30, 2020"
SALLY HOLDINGS LLC/SALLY CAPITAL I,Consumer Cyclical,Fixed Income,"82,099.80",0.06,"82,099.80","80,000.00",79546VAL0,US79546VAL09,BYT5RH9,102.16,United States,-,USD,0.08,5.01,1.0,"Dec 01, 2025",5.63,3.47,-,2.01,0.08,2.01,USD,"Dec 03, 2015","Dec 03, 2015"
PRESTIGE BRANDS INC 144A,Consumer Non-Cyclical,Fixed Income,"79,815.15",0.06,"79,815.15","75,000.00",74112BAL9,US74112BAL99,-,104.06,United States,-,USD,2.46,4.35,1.0,"Jan 15, 2028",5.13,5.06,-,3.55,0.99,3.55,USD,"Dec 02, 2019","Dec 02, 2019"
IHS MARKIT LTD,Technology,Fixed Income,"79,592.47",0.06,"79,592.47","75,000.00",44962LAG2,US44962LAG23,BFMJLX9,104.42,United States,-,USD,1.44,1.3,1.0,"Aug 01, 2023",4.13,1.52,-,1.15,1.44,1.15,USD,"Jul 23, 2018","Jul 23, 2018"
SINCLAIR TELEVISION GROUP INC 144A,Communications,Fixed Income,"79,412.89",0.06,"79,412.89","80,000.00",829259AW0,US829259AW02,BDGM301,97.33,United States,-,USD,4.0,5.73,1.0,"Feb 15, 2027",5.13,4.35,-,5.73,4.35,5.73,USD,"Aug 30, 2016","Aug 30, 2016"
CDK GLOBAL INC,Technology,Fixed Income,"77,392.39",0.05,"77,392.39","70,000.00",12508EAD3,US12508EAD31,BYQ3345,109.51,United States,-,USD,2.39,1.5,1.0,"Oct 15, 2024",5.0,2.6,-,1.19,2.38,1.19,USD,"Apr 15, 2015","Jun 18, 2015"
JELD-WEN INC 144A,Capital Goods,Fixed Income,"75,943.17",0.05,"75,943.17","75,000.00",475795AC4,US475795AC41,BF4PG96,101.05,United States,-,USD,1.31,4.33,1.0,"Dec 15, 2025",4.63,3.58,-,3.49,0.93,3.49,USD,"Dec 14, 2017","Dec 14, 2017"
COOPER-STANDARD AUTOMOTIVE INC 144A,Consumer Cyclical,Fixed Income,"74,796.08",0.05,"74,796.08","90,000.00",216762AF1,US216762AF11,BZ1JMH1,82.39,United States,-,USD,4.2,10.31,1.0,"Nov 15, 2026",5.63,4.02,-,10.31,4.02,10.31,USD,"Nov 02, 2016","Nov 02, 2016"
KRAFT HEINZ FOODS CO,Consumer Non-Cyclical,Fixed Income,"68,806.25",0.05,"68,806.25","50,000.00",42307TAG3,US42307TAG31,2920247,135.63,United States,-,USD,7.77,2.73,1.0,"Mar 15, 2032",6.75,7.75,-,2.73,7.75,2.73,USD,"Mar 15, 2003","Mar 21, 2003"
KRAFT HEINZ FOODS CO,Consumer Non-Cyclical,Fixed Income,"59,063.12",0.04,"59,063.12","50,000.00",50077LAX4,US50077LAX47,-,116.97,United States,-,USD,12.29,3.35,1.0,"Oct 01, 2039",4.63,12.43,-,3.32,12.19,3.32,USD,"Oct 01, 2020","Jan 19, 2021"
KRAFT HEINZ FOODS CO,Consumer Non-Cyclical,Fixed Income,"54,809.56",0.04,"54,809.56","47,000.00",50077LAT3,US50077LAT35,BG1ZYX6,114.69,United States,-,USD,5.89,2.36,1.0,"Jan 30, 2029",4.63,6.02,-,2.29,5.84,2.29,USD,"Jun 15, 2018","Jun 15, 2018"
AERCAP HOLDINGS NV,Finance Companies,Fixed Income,"52,329.84",0.04,"52,329.84","50,000.00",00774YAA7,US00774YAA73,-,103.34,Ireland,-,USD,2.56,5.61,1.0,"Oct 10, 2079",5.88,2.19,-,4.58,2.52,4.58,USD,"Oct 10, 2019","Oct 10, 2019"
DIAMOND SPRTS GROUP LLC/DIAMOND SP 144A,Communications,Fixed Income,"36,560.13",0.03,"36,560.13","120,000.00",25277LAC0,US25277LAC00,BKKGCN4,27.96,United States,-,USD,3.49,39.19,1.0,"Aug 15, 2027",6.63,2.95,-,39.19,2.95,39.19,USD,"Aug 02, 2019","Aug 02, 2019"
Grand Canyon University,Industrial Other,Fixed Income,"35,989.48",0.02,"35,989.48","35,000.00",38528UAC0,US38528UAC09,-,102.58,United States,-,USD,2.61,3.14,1.0,"Oct 01, 2024",4.13,2.58,-,3.14,2.58,3.14,USD,"Dec 09, 2021","Dec 09, 2021"
USD CASH,Cash and/or Derivatives,Cash,"-45,023.53",-0.03,"-45,023.53","-45,024.00",-,-,-,100.0,United States,-,USD,0.0,0.1,1.0,-,0.0,0.0,-,0.1,0.0,0.1,USD,-,"Jan 01, 1989"
